#;DATETIME;iDay;OPEN;HIGH;LOW;CLOSE;5-Costf L;6-200DMA
17749;1314280800;744;1.44441;1.44504;1.4434;1.44419;0.02618077;1.3972422
17748;1314284400;744;1.44426;1.44465;1.44107;1.44181;0.02118864;1.3972422
17747;1314288000;744;1.44179;1.44567;1.43999;1.44194;0.02164445;1.3972422
17746;1314291600;744;1.44196;1.44207;1.43273;1.4351;0.00661975;1.3972422
17745;1314295200;744;1.43508;1.43817;1.43426;1.43786;0.01411125;1.3972422
17744;1314298800;744;1.43784;1.43812;1.43599;1.43687;0.01166424;1.3972422
17743;1314302400;744;1.43687;1.43784;1.4364;1.43692;0.00817025;1.3972422
17742;1314306000;744;1.43691;1.43766;1.43661;1.43668;0.01528524;1.3972422
17741;1314309600;744;1.43669;1.43887;1.43656;1.43859;0.01151822;1.3972422
17740;1314313200;744;1.4386;1.4387;1.43761;1.43771;0.01271466;1.3972422
17739;1314316800;743;1.4378;1.43808;1.43679;1.43729;0.01007452;1.39761055
17738;1314320400;743;1.43731;1.43787;1.43697;1.43704;0.00979792;1.39761055
17737;1314324000;743;1.43704;1.43879;1.43698;1.43873;0.01203144;1.39761055
17736;1314327600;743;1.43873;1.44165;1.43823;1.44106;0.01575923;1.39761055
17735;1314331200;743;1.44106;1.44151;1.4398;1.44035;0.01613497;1.39761055
17734;1314334800;743;1.44033;1.4411;1.44004;1.44017;0.01597728;1.39761055
17733;1314338400;743;1.44018;1.44139;1.43976;1.44076;0.0183306;1.39761055
17732;1314342000;743;1.44075;1.44178;1.44057;1.44127;0.02091905;1.39761055
17731;1314345600;743;1.44129;1.44284;1.44072;1.44255;0.02170462;1.39761055
17730;1314349200;743;1.4425;1.44454;1.44228;1.44319;0.02227011;1.39761055
17729;1314352800;743;1.44319;1.44489;1.44208;1.44296;0.02039558;1.39761055
17728;1314356400;743;1.44297;1.4446;1.44242;1.44392;0.02235581;1.39761055
17727;1314360000;743;1.44388;1.4452;1.44264;1.443;0.01694387;1.39761055
17726;1314363600;743;1.44301;1.44383;1.44228;1.44361;0.01691593;1.39761055
17725;1314367200;743;1.44363;1.44378;1.44015;1.44083;0.01072993;1.39761055
17724;1314370800;743;1.44082;1.44105;1.43913;1.44019;0.01160264;1.39761055
17723;1314374400;743;1.4402;1.44485;1.43964;1.44391;0.02066611;1.39761055
17722;1314378000;743;1.44391;1.44408;1.43281;1.43595;0.00399735;1.39761055
17721;1314381600;743;1.43591;1.44772;1.43566;1.44611;0.02560663;1.39761055
17720;1314385200;743;1.44612;1.4501;1.44575;1.44742;0.02724157;1.39761055
17719;1314388800;743;1.44742;1.44921;1.44735;1.44915;0.03074216;1.39761055
